Titolo,ID,Durata,Spotify URL,URI,Album
Superman - prod. by Zef (feat. Guè),2wFhYRBc8JzVkRv8c01zU4,3.16,"<a href=""https://open.spotify.com/track/2wFhYRBc8JzVkRv8c01zU4"" target=""_blank"">https://open.spotify.com/track/2wFhYRBc8JzVkRv8c01zU4</a>",2wFhYRBc8JzVkRv8c01zU4,Keta Music - Volume 2
"13 anni - prod. by Don Joe (feat. Bassi Maestro, Giso e Clark P.)",3JcHbkGwXDoZtoT743gGtn,3.21,"<a href=""https://open.spotify.com/track/3JcHbkGwXDoZtoT743gGtn"" target=""_blank"">https://open.spotify.com/track/3JcHbkGwXDoZtoT743gGtn</a>",3JcHbkGwXDoZtoT743gGtn,Keta Music - Volume 2
B.Rex Bestie - prod. by Sick Luke (feat. Lazza),1uOBgCSyFH0DFa4r5tDZhn,3.6,"<a href=""https://open.spotify.com/track/1uOBgCSyFH0DFa4r5tDZhn"" target=""_blank"">https://open.spotify.com/track/1uOBgCSyFH0DFa4r5tDZhn</a>",1uOBgCSyFH0DFa4r5tDZhn,Keta Music - Volume 2
Racai status - prod. by Mondo Marcio (feat. Vacca e Jamil),1GZb1rdyPeH9ma2aYxHZYh,3.25,"<a href=""https://open.spotify.com/track/1GZb1rdyPeH9ma2aYxHZYh"" target=""_blank"">https://open.spotify.com/track/1GZb1rdyPeH9ma2aYxHZYh</a>",1GZb1rdyPeH9ma2aYxHZYh,Keta Music - Volume 2
10 comandamenti - prod. by Pk (feat. Gemitaiz & Madman),3dh5jD1jlmUyEDzLMYhvYY,5.05,"<a href=""https://open.spotify.com/track/3dh5jD1jlmUyEDzLMYhvYY"" target=""_blank"">https://open.spotify.com/track/3dh5jD1jlmUyEDzLMYhvYY</a>",3dh5jD1jlmUyEDzLMYhvYY,Keta Music - Volume 2
Champions - prod. by 2nd Roof Music (feat. Clementino),4zNKXU1HM8YtxoslBdAl4I,3.34,"<a href=""https://open.spotify.com/track/4zNKXU1HM8YtxoslBdAl4I"" target=""_blank"">https://open.spotify.com/track/4zNKXU1HM8YtxoslBdAl4I</a>",4zNKXU1HM8YtxoslBdAl4I,Keta Music - Volume 2
Di tutti i colori - prod. by Pk (feat. Jake La Furia),468aNavUHoxQQZXatMXEqS,3.43,"<a href=""https://open.spotify.com/track/468aNavUHoxQQZXatMXEqS"" target=""_blank"">https://open.spotify.com/track/468aNavUHoxQQZXatMXEqS</a>",468aNavUHoxQQZXatMXEqS,Keta Music - Volume 2
Martin Luther King - prod. by Small White (feat. Luchè),4UffiDQcLsky7mQan14i5a,4.22,"<a href=""https://open.spotify.com/track/4UffiDQcLsky7mQan14i5a"" target=""_blank"">https://open.spotify.com/track/4UffiDQcLsky7mQan14i5a</a>",4UffiDQcLsky7mQan14i5a,Keta Music - Volume 2
Bella idea - prod. by Zef (feat. Lazza),6c1db1UvoUKcl2NPPwbKV2,3.47,"<a href=""https://open.spotify.com/track/6c1db1UvoUKcl2NPPwbKV2"" target=""_blank"">https://open.spotify.com/track/6c1db1UvoUKcl2NPPwbKV2</a>",6c1db1UvoUKcl2NPPwbKV2,Keta Music - Volume 2
Casinò - prod. by 2nd Roof Music (feat. Maruego),4VDD3F54TlvXwNIEsGaCGT,3.65,"<a href=""https://open.spotify.com/track/4VDD3F54TlvXwNIEsGaCGT"" target=""_blank"">https://open.spotify.com/track/4VDD3F54TlvXwNIEsGaCGT</a>",4VDD3F54TlvXwNIEsGaCGT,Keta Music - Volume 2
